"","X","value","date","station","datatype","day","hour"
"1","2016-07-28 17:00:00",90,2016-07-28 13:00:00,"KTPA","Forecast",2016-07-28,13
"2","2016-07-28 18:00:00",92,2016-07-28 14:00:00,"KTPA","Forecast",2016-07-28,14
"3","2016-07-28 19:00:00",93,2016-07-28 15:00:00,"KTPA","Forecast",2016-07-28,15
"4","2016-07-28 20:00:00",93,2016-07-28 16:00:00,"KTPA","Forecast",2016-07-28,16
"5","2016-07-28 21:00:00",92,2016-07-28 17:00:00,"KTPA","Forecast",2016-07-28,17
"6","2016-07-28 22:00:00",91,2016-07-28 18:00:00,"KTPA","Forecast",2016-07-28,18
"7","2016-07-28 23:00:00",89,2016-07-28 19:00:00,"KTPA","Forecast",2016-07-28,19
"8","2016-07-29 00:00:00",86,2016-07-28 20:00:00,"KTPA","Forecast",2016-07-28,20
"9","2016-07-29 01:00:00",84,2016-07-28 21:00:00,"KTPA","Forecast",2016-07-28,21
"10","2016-07-29 02:00:00",83,2016-07-28 22:00:00,"KTPA","Forecast",2016-07-28,22
"11","2016-07-29 03:00:00",83,2016-07-28 23:00:00,"KTPA","Forecast",2016-07-28,23
"12","2016-07-29 04:00:00",83,2016-07-29 00:00:00,"KTPA","Forecast",2016-07-29,0
"13","2016-07-29 05:00:00",82,2016-07-29 01:00:00,"KTPA","Forecast",2016-07-29,1
"14","2016-07-29 06:00:00",81,2016-07-29 02:00:00,"KTPA","Forecast",2016-07-29,2
"15","2016-07-29 07:00:00",81,2016-07-29 03:00:00,"KTPA","Forecast",2016-07-29,3
"16","2016-07-29 08:00:00",80,2016-07-29 04:00:00,"KTPA","Forecast",2016-07-29,4
"17","2016-07-29 09:00:00",80,2016-07-29 05:00:00,"KTPA","Forecast",2016-07-29,5
"18","2016-07-29 10:00:00",80,2016-07-29 06:00:00,"KTPA","Forecast",2016-07-29,6
"19","2016-07-29 11:00:00",80,2016-07-29 07:00:00,"KTPA","Forecast",2016-07-29,7
"20","2016-07-29 12:00:00",82,2016-07-29 08:00:00,"KTPA","Forecast",2016-07-29,8
"21","2016-07-29 13:00:00",84,2016-07-29 09:00:00,"KTPA","Forecast",2016-07-29,9
"22","2016-07-29 14:00:00",86,2016-07-29 10:00:00,"KTPA","Forecast",2016-07-29,10
"23","2016-07-29 15:00:00",88,2016-07-29 11:00:00,"KTPA","Forecast",2016-07-29,11
"24","2016-07-29 16:00:00",88,2016-07-29 12:00:00,"KTPA","Forecast",2016-07-29,12
"25","2016-07-29 17:00:00",89,2016-07-29 13:00:00,"KTPA","Forecast",2016-07-29,13
"26","2016-07-29 18:00:00",89,2016-07-29 14:00:00,"KTPA","Forecast",2016-07-29,14
